Account,Type,Bucket,Fix
695210052227,✅ S3 BUCKET FOUND,min-cybersec-pipeline-2026,Check public access + encryption
695210052227,✅ S3 BUCKET FOUND,oscarmorberg-portfolio-2026,Check public access + encryption
